Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
"Muskurane (From ""Citylights"") - Romantic","Jeet Gannguli, Arijit Singh",Yours Truly Arijit,3tzrtZvTODgW7tDew5E7nb,7HqKQ28B7kaTY7pMyQ2OTy,27,2016-12-09,334331,False,https://open.spotify.com/track/7HqKQ28B7kaTY7pMyQ2OTy,0.567,0.577,11,-6.197,0,0.0264,0.628,0.0,0.132,0.217,101.99
Tumhi Dekho Naa,"Shankar-Ehsaan-Loy, Sonu Nigam, Alka Yagnik",The Essential Bollywood Lounge,7GmtSBYeABtmp5F5IhuFfq,0DpvSC1ptABSLwCupNDKVd,15,2010-11-08,346880,False,https://open.spotify.com/track/0DpvSC1ptABSLwCupNDKVd,0.539,0.441,2,-10.422,0,0.0394,0.509,1.57e-05,0.113,0.372,81.067
Ek Pal Ka Jeena,Lucky Ali,Kaho Naa Pyaar Hai (Original Motion Picture Soundtrack),31H6E9Jdnx78N2Qkd4LId1,1peYY3ORe8m8dCiAk00Z3B,0,1999-12-01,397427,False,https://open.spotify.com/track/1peYY3ORe8m8dCiAk00Z3B,0.676,0.798,6,-9.493,0,0.0475,0.0503,3.96e-05,0.0371,0.833,103.98
"Beedi (From ""Omkara"")","Sunidhi Chauhan, Sukhwinder Singh, Nachiketa Chakravorty, Clinton Cerejo",Hits of Saif,6vlSJXSNKktM81QgS16R9v,0EU3vVR5GhdwdjtVSsN9F6,0,2014-11-25,350160,False,https://open.spotify.com/track/0EU3vVR5GhdwdjtVSsN9F6,0.727,0.885,2,-7.073,1,0.0642,0.179,0.00179,0.108,0.454,119.977
Madari,"Clinton Cerejo, Vishal Dadlani, Sonu Kakkar","Best of Coke Studio @ MTV Season, 2",1GIBAN61IL1pabms1VRRHK,1ppdJWEPtU0ETfe5fd04rB,0,2012-12-07,463787,False,https://open.spotify.com/track/1ppdJWEPtU0ETfe5fd04rB,0.578,0.86,7,-5.448,0,0.0386,0.115,0.0,0.18,0.592,113.074
Teri Deewani,"Kailash Kher, Paresh Kamath, Naresh Kamath",Kailasa,4RaycLPhCCJ8wglYD4cvmD,2iNqdCchlUZEgjJbQyZf8T,64,2006-02-24,323520,False,https://open.spotify.com/track/2iNqdCchlUZEgjJbQyZf8T,0.447,0.6,4,-3.718,0,0.0332,0.324,0.0,0.0962,0.434,80.044
Saiyyan,"Kailash Kher, Paresh Kamath, Naresh Kamath",Jhoomo Re,1DzYor2sqKFs4Z6qcUl0V5,2vR23BjIzpLMtzsyKrM6Mb,64,2011-06-03,343907,False,https://open.spotify.com/track/2vR23BjIzpLMtzsyKrM6Mb,0.473,0.562,0,-8.624,1,0.0451,0.65,0.000117,0.12,0.316,74.653
"Jeena Jeena (From ""Badlapur"")",Atif Aslam,"Jeena Jeena (From ""Badlapur"")",0U2bBiUD6j9q0GIDsY3J7v,5ZhKD46Q7mhsl0awl7ZMJc,0,2015-01-15,228969,False,https://open.spotify.com/track/5ZhKD46Q7mhsl0awl7ZMJc,0.677,0.318,5,-9.196,1,0.028,0.775,0.0,0.118,0.585,104.983
"Jeene Laga Hoon (From ""Ramaiya Vastavaiya"")","Atif Aslam, Shreya Ghoshal",Ramaiya Vastavaiya (Original Motion Picture Soundtrack),2n0ph4tEw3S7y2yqgXMD2R,11ZEzmgtjJhoMHTWGd5IRY,0,2013-05-15,231673,False,https://open.spotify.com/track/11ZEzmgtjJhoMHTWGd5IRY,0.562,0.735,7,-7.924,0,0.0445,0.144,0.000204,0.177,0.537,90.057
"Main Rang Sharbaton Ka (From ""Phata Poster Nikhla Hero"")","Atif Aslam, Chinmayi, Pritam",Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),1a2ipaPPgn0JPWb9Z0Ey36,7hNb5juMQyy93U63jW4Mwj,0,2013-09-10,262906,False,https://open.spotify.com/track/7hNb5juMQyy93U63jW4Mwj,0.384,0.607,6,-7.429,1,0.0433,0.713,0.0,0.158,0.707,78.186
